Step,Loss
1101,647.215
1102,619.3236
1103,591.09656
1104,610.2061
1105,560.6227
1106,606.75476
1107,557.296
1108,595.6581
1109,532.67645
1110,558.6514
1111,499.7495
1112,546.1259
1113,518.37946
1114,524.5579
1115,487.40942
1116,493.47217
1117,492.6928
1118,498.4088
1119,500.95938
1120,443.19574
1121,421.24365
1122,435.19995
1123,429.22437
1124,407.07535
1125,389.53723
1126,416.9636
1127,413.52734
1128,386.2356
1129,426.23483
1130,416.75067
1131,391.95734
1132,397.4956
1133,386.39136
1134,357.8515
1135,402.3112
1136,368.6309
1137,313.59595
1138,315.20184
1139,337.38806
1140,365.5243
1141,347.78625
1142,342.47296
1143,346.93225
1144,324.76752
1145,295.05957
1146,318.18024
1147,334.28894
1148,329.7264
1149,282.15448
1150,321.01932
1151,295.49323
1152,294.42975
1153,321.24823
1154,306.33582
1155,316.0559
1156,293.71698
1157,257.51904
1158,281.2364
1159,292.62198
1160,275.87012
1161,295.96356
1162,260.5734
1163,268.15265
1164,253.85344
1165,274.43512
1166,252.55487
1167,252.42015
1168,254.4452
1169,237.70392
1170,233.2952
1171,219.23825
1172,242.47983
1173,223.82797
1174,252.29456
1175,230.93112
1176,214.58762
1177,242.43713
1178,217.12373
1179,227.78279
1180,211.49905
1181,211.6836
1182,205.40279
1183,209.22885
1184,195.98596
1185,195.53516
1186,195.05208
1187,203.37271
1188,213.24236
1189,191.41571
1190,200.05188
1191,182.80261
1192,188.82294
1193,176.33148
1194,198.74179
1195,177.09451
1196,196.40756
1197,184.9338
1198,160.49078
1199,163.68399
1200,167.04692
1201,160.21255
1202,146.07515
1203,176.06616
1204,175.24004
1205,166.02219
1206,162.35092
1207,146.50206
1208,149.01201
1209,153.4215
1210,152.87238
1211,127.126175
1212,149.77264
1213,146.74782
1214,135.84882
1215,146.8646
1216,130.8003
1217,142.82785
1218,155.96904
1219,123.54993
1220,136.28134
1221,126.734375
1222,123.72003
1223,144.87587
1224,140.61584
1225,126.72085
1226,122.2622
1227,126.079315
1228,125.08293
1229,131.05658
1230,130.3597
1231,130.7627
1232,132.59837
1233,115.75992
1234,121.2135
1235,118.36266
1236,113.345215
1237,122.31231
1238,122.10512
1239,117.67201
1240,103.81856
1241,116.77218
1242,94.82394
1243,116.139275
1244,108.324776
1245,93.455536
1246,122.715744
1247,117.768616
1248,94.25107
1249,96.28073
1250,100.905205
1251,117.61689
1252,102.78349
1253,101.39929
1254,115.04576
1255,105.746124
1256,86.96931
1257,97.31926
1258,88.39521
1259,92.96806
1260,100.5465
1261,96.80908
1262,80.96546
1263,90.53896
1264,88.61998
1265,96.13366
1266,94.78647
1267,99.841446
1268,84.664856
1269,87.645035
1270,93.35092
1271,77.337814
1272,95.226166
1273,76.58508
1274,79.22102
1275,89.3333
1276,96.314926
1277,88.97719
1278,79.913086
1279,90.45625
1280,88.62527
1281,79.14206
1282,85.85315
1283,85.95476
1284,87.5656
1285,80.999405
1286,86.26592
1287,91.31926
1288,65.65297
1289,68.772934
1290,85.48923
1291,71.91475
1292,78.624146
1293,81.27463
1294,69.51308
1295,87.94113
1296,71.305405
1297,59.0932
1298,76.30699
1299,85.53677
1300,70.82854
1301,72.96306
1302,71.8989
1303,62.13006
1304,67.98273
1305,59.93675
1306,74.27379
1307,78.215546
1308,70.62854
1309,64.25528
1310,83.770004
1311,65.02632
1312,58.174717
1313,56.979706
1314,63.87023
1315,67.022415
1316,74.7538
1317,65.24482
1318,53.40524
1319,76.356575
1320,62.519516
1321,74.441216
1322,66.680115
1323,83.46825
1324,90.466965
1325,64.17819
1326,72.81836
1327,50.20801
1328,59.292732
1329,81.4934
1330,62.597885
1331,66.465866
1332,82.103645
1333,56.37771
1334,63.118935
1335,48.321358
1336,53.896328
1337,83.513435
1338,60.462006
1339,80.38997
1340,72.70609
1341,60.205254
1342,58.67838
1343,62.106552
1344,60.17575
1345,55.385857
1346,58.422268
1347,54.052483
1348,75.68418
1349,57.580032
1350,52.54801
1351,57.087547
1352,58.957626
1353,67.96041
1354,46.564236
1355,55.52877
1356,53.66954
1357,50.04008
1358,60.57336
1359,58.41497
1360,57.696396
1361,59.72798
1362,58.839855
1363,61.942764
1364,49.58363
1365,71.0903
1366,53.913017
1367,63.338425
1368,54.244442
1369,42.81865
1370,52.53783
1371,35.991127
1372,59.537506
1373,53.699463
1374,45.650322
1375,49.551384
1376,57.81981
1377,55.841934
1378,31.691349
1379,39.76609
1380,39.853977
1381,38.971577
1382,31.642454
1383,56.70521
1384,58.37758
1385,35.68264
1386,55.2263
1387,30.121645
1388,51.0448
1389,43.475937
1390,44.328987
1391,53.197838
1392,44.337276
1393,39.31289
1394,60.292667
1395,47.70485
1396,48.920166
1397,55.136913
1398,49.144604
1399,50.328342
1400,46.730614
1401,49.108307
1402,38.453094
1403,38.745857
1404,48.08471
1405,53.765144
1406,48.076855
1407,39.250534
1408,62.85553
1409,46.152878
1410,45.407333
1411,50.575512
1412,41.297874
1413,46.07344
1414,39.08932
1415,45.03137
1416,45.50463
1417,53.766033
1418,41.830116
1419,38.69567
1420,29.169998
1421,45.038517
1422,44.972473
1423,47.78244
1424,42.539986
1425,59.7504
1426,45.42211
1427,35.59711
1428,43.947655
1429,59.505753
1430,48.092155
1431,29.52592
1432,43.36319
1433,60.981968
1434,49.466015
1435,42.560265
1436,39.985844
1437,45.132996
1438,49.188293
1439,44.455494
1440,50.82861
1441,34.22377
1442,57.711647
1443,44.373474
1444,53.257538
1445,41.639305
1446,50.4722
1447,37.289024
1448,50.389442
1449,41.7828
1450,44.504074
1451,39.830154
1452,34.783173
1453,48.738804
1454,39.437485
1455,40.86297
1456,27.64981
1457,42.24253
1458,51.14763
1459,44.497463
1460,48.501823
1461,37.34084
1462,37.984043
1463,45.699768
1464,49.74469
1465,36.809807
1466,33.604057
1467,49.000153
1468,40.040024
1469,43.055458
1470,35.834488
1471,29.257442
1472,37.654785
1473,35.47199
1474,46.665962
1475,57.19773
1476,24.33183
1477,52.553722
1478,48.013073
1479,56.124718
1480,35.616924
1481,42.871536
1482,51.439064
1483,48.944653
1484,48.242096
1485,42.476707
1486,35.432587
1487,38.76893
1488,36.612766
1489,45.30327
1490,42.467884
1491,44.74508
1492,63.326195
1493,44.683716
1494,55.28872
1495,45.166706
1496,39.716034
1497,37.941998
1498,48.336872
1499,69.03102
1500,44.15886
1501,26.109293
1502,52.111588
1503,31.127632
1504,43.067337
1505,31.755806
1506,44.470512
1507,37.273975
1508,36.99552
1509,43.7489
1510,37.552925
1511,34.402546
1512,45.06755
1513,39.9555
1514,40.157516
1515,41.170715
1516,35.96643
1517,39.386192
1518,46.47116
1519,41.66092
1520,41.03364
1521,43.0352
1522,32.574375
1523,45.890327
1524,48.68091
1525,30.852695
1526,41.685448
1527,48.975098
1528,47.630024
1529,45.811462
1530,38.25607
1531,48.931137
1532,32.244736
1533,29.771574
1534,37.315376
1535,28.843649
1536,45.3625
1537,42.11985
1538,43.95544
1539,44.06266
1540,35.944424
1541,44.404823
1542,47.121735
1543,37.76793
1544,40.859352
1545,41.462963
1546,28.237858
1547,32.12147
1548,36.587814
1549,40.178757
1550,36.971565
1551,37.537407
1552,32.465214
1553,30.274048
1554,40.455666
1555,23.126675
1556,25.558743
1557,49.825413
1558,40.30435
1559,29.369802
1560,42.37954
1561,52.844936
1562,33.384895
1563,39.699142
1564,56.416904
1565,34.17347
1566,24.101677
1567,46.52156
1568,49.8646
1569,37.10328
1570,27.266678
1571,35.23451
1572,27.787434
1573,37.562965
1574,41.96344
1575,35.501175
1576,39.06331
1577,32.7714
1578,46.202877
1579,37.564114
1580,36.288948
1581,44.26141
1582,43.023903
1583,28.96034
1584,44.611275
1585,32.564976
1586,46.34809
1587,38.938133
1588,55.19445
1589,32.561253
1590,31.517937
1591,32.372047
1592,57.198875
1593,29.729568
1594,29.678875
1595,31.458153
1596,32.25825
1597,43.717422
1598,25.136864
1599,32.826168
1600,24.152176
1601,45.305103
1602,27.64291
1603,35.9645
1604,46.53955
1605,37.843643
1606,41.16259
1607,30.35794
1608,29.6581
1609,52.386097
1610,45.72354
1611,32.94136
1612,26.10812
1613,32.516167
1614,34.75511
1615,38.097378
1616,31.170685
1617,42.533634
1618,35.141113
1619,29.65379
1620,34.772778
1621,38.527924
1622,43.739902
1623,36.13134
1624,36.00184
1625,36.14431
1626,24.202478
1627,44.774757
1628,40.268745
1629,39.56631
1630,43.004303
1631,38.595753
1632,31.696661
1633,35.670547
1634,32.157593
1635,33.447685
1636,37.521965
1637,46.559235
1638,36.461853
1639,53.11393
1640,27.351707
1641,41.667747
1642,45.77105
1643,48.80285
1644,35.92861
1645,30.723228
1646,45.741447
1647,31.525637
1648,29.102734
1649,45.905144
1650,41.28634
1651,33.92386
1652,42.90573
1653,39.403397
1654,32.38917
1655,31.057796
1656,38.653923
1657,39.181183
1658,31.328117
1659,30.028006
1660,42.419804
1661,43.58495
1662,43.41931
1663,42.33568
1664,32.256927
1665,31.847282
1666,38.605267
1667,35.947678
1668,46.510284
1669,37.984932
1670,44.005608
1671,50.75973
1672,32.539635
1673,51.732655
1674,46.597923
1675,32.691704
1676,45.174656
1677,51.752262
1678,36.004475
1679,37.24984
1680,30.740559
1681,30.23925
1682,35.27672
1683,45.106876
1684,27.624933
1685,37.986134
1686,32.30915
1687,41.43628
1688,25.913216
1689,45.192787
1690,31.595858
1691,35.81208
1692,31.282604
1693,40.174644
1694,43.592056
1695,46.978725
1696,47.572548
1697,41.113583
1698,43.441086
1699,25.520298
1700,35.546135
1701,40.753613
1702,39.929955
1703,41.090084
1704,30.40812
1705,21.371254
1706,36.871685
1707,33.62175
1708,52.62419
1709,36.352547
1710,26.835941
1711,32.970863
1712,26.658588
1713,36.90588
1714,39.144405
1715,39.57012
1716,38.777153
1717,39.206387
1718,40.768013
1719,24.544228
1720,38.310814
1721,51.858494
1722,33.85875
1723,20.59121
1724,35.401474
1725,32.021385
1726,22.77248
1727,27.113121
1728,45.724026
1729,33.606823
1730,28.876574
1731,34.397423
1732,41.35046
1733,41.682693
1734,32.85125
1735,33.72849
1736,29.032213
1737,51.361633
1738,28.633057
1739,41.321617
1740,31.040047
1741,30.898046
1742,35.76655
1743,39.001534
1744,31.722946
1745,32.270706
1746,22.674252
1747,30.441086
1748,44.34527
1749,25.995
1750,29.080456
1751,34.23443
1752,38.65003
1753,36.534515
1754,34.065193
1755,41.33387
1756,29.22188
1757,45.320667
1758,42.84351
1759,44.652927
1760,26.875288
1761,24.914677
1762,37.48481
1763,36.70446
1764,40.890614
1765,33.491405
1766,33.951405
1767,39.151546
1768,33.89988
1769,40.008713
1770,34.6475
1771,53.61184
1772,38.01831
1773,48.210957
1774,23.460442
1775,52.16276
1776,35.798267
1777,31.652185
1778,39.323017
1779,44.078667
1780,31.45184
1781,27.878256
1782,31.746187
1783,31.476545
1784,35.96669
1785,33.30391
1786,31.214283
1787,24.02507
1788,47.804497
1789,40.469963
1790,23.355488
1791,32.26996
1792,16.727224
1793,35.35372
1794,37.463856
1795,45.474773
1796,30.889622
1797,32.877316
1798,35.824352
1799,37.161957
1800,30.18824
1801,28.742401
1802,35.28893
1803,32.09449
1804,37.937645
1805,49.979843
1806,36.81824
1807,41.013596
1808,32.32832
1809,35.49661
1810,34.956432
1811,28.089218
1812,42.206657
1813,30.83873
1814,30.029465
1815,51.809757
1816,42.882145
1817,46.164062
1818,42.61631
1819,41.646545
1820,39.06669
1821,41.2454
1822,38.286533
1823,38.282074
1824,41.462395
1825,40.635796
1826,41.143734
1827,37.27512
1828,33.696747
1829,38.31663
1830,43.715843
1831,40.98647
1832,27.21701
1833,41.91929
1834,48.94703
1835,33.060883
1836,44.29107
1837,46.84326
1838,30.42007
1839,33.488262
1840,24.729849
1841,33.49084
1842,23.980686
1843,38.597847
1844,45.302376
1845,34.483597
1846,33.969906
1847,50.6632
1848,32.132053
1849,38.228916
1850,46.99273
1851,24.487728
1852,31.930773
1853,34.316208
1854,29.486866
1855,21.58783
1856,38.804634
1857,30.28897
1858,27.206348
1859,27.444893
1860,35.571785
1861,42.126904
1862,43.903603
1863,40.71032
1864,32.052876
1865,34.896996
1866,30.74939
1867,29.950806
1868,53.014374
1869,37.676815
1870,50.406578
1871,19.639317
1872,42.194836
1873,31.147736
1874,28.700203
1875,33.309353
1876,37.885117
1877,27.844866
1878,29.083132
1879,34.648056
1880,36.801525
1881,45.91143
1882,43.070957
1883,40.83758
1884,31.581615
1885,27.879982
1886,49.071785
1887,43.195827
1888,47.71794
1889,36.94165
1890,44.1697
1891,31.540173
1892,29.332163
1893,33.60841
1894,37.277924
1895,35.373978
1896,30.853125
1897,35.431183
1898,42.00632
1899,38.901085
1900,37.154945
1901,37.537003
1902,30.016361
1903,36.326637
1904,41.008377
1905,30.156887
1906,32.250748
1907,41.974903
1908,22.007002
1909,29.232895
1910,26.690563
1911,24.176128
1912,34.069252
1913,28.007744
1914,23.979553
1915,41.2014
1916,37.549706
1917,21.264267
1918,32.344597
1919,38.55836
1920,31.755608
1921,39.670475
1922,23.722664
1923,31.604727
1924,37.565384
1925,36.905365
1926,32.7851
1927,31.84982
1928,24.345367
1929,24.938152
1930,26.974937
1931,57.115643
1932,36.661453
1933,32.110123
1934,56.674316
1935,35.266155
1936,49.068386
1937,31.760494
1938,36.266045
1939,42.532322
1940,35.78498
1941,32.854362
1942,26.812298
1943,37.135296
1944,37.18745
1945,39.419376
1946,37.341682
1947,39.97411
1948,29.333462
1949,40.513245
1950,25.930277
1951,44.655884
1952,37.873955
1953,29.465853
1954,26.724644
1955,58.80482
1956,53.161163
1957,40.047005
1958,30.918121
1959,31.609661
1960,38.596157
1961,39.694756
1962,35.772446
1963,30.74355
1964,34.60016
1965,35.729393
1966,31.190346
1967,38.688072
1968,34.03084
1969,30.11071
1970,45.690918
1971,35.35388
1972,35.18526
1973,47.577095
1974,34.639736
1975,30.455154
1976,28.289629
1977,46.45569
1978,31.984943
1979,43.354134
1980,33.71435
1981,41.711708
1982,44.812744
1983,21.719284
1984,34.680077
1985,31.292847
1986,28.542837
1987,29.361547
1988,30.3306
1989,39.408165
1990,30.795929
